"    46","    Pipeline transportation",24.2,26.1,29.8,30.1,31.6,33.2,33.8,34.0,33.1,34.7,32.9,33.6,34.0,33.6,34.7,36.0,35.6,35.7
"    47","    Other transportation and support activities",90.4,91.3,92.1,91.7,92.0,92.8,92.4,91.3,92.0,92.8,93.3,95.8,97.0,96.8,97.8,98.9,100.9,101.9
"    48","    Warehousing and storage",51.6,51.4,51.7,52.8,55.3,55.8,56.8,57.7,60.0,59.2,60.3,62.3,63.3,66.4,63.6,62.8,64.2,66.2
"    49","  Information",833.4,840.1,846.6,861.0,895.4,926.2,952.8,989.6,1011.6,1032.4,1053.3,1063.0,1071.4,1102.3,1131.6,1151.4,1163.6,1200.8
"    50","    Publishing industries, except internet (includes software)",211.8,214.2,212.2,208.5,216.1,219.9,220.8,224.0,232.3,237.8,244.8,247.5,250.3,256.1,262.2,267.7,269.2,274.6
"    51","    Motion picture and sound recording industries",83.6,83.8,85.0,85.2,89.0,90.4,92.0,92.6,95.6,91.1,91.9,89.6,93.3,90.8,92.2,95.3,94.6,98.8
"    52","    Broadcasting and telecommunications",393.4,395.7,396.0,406.2,419.5,430.1,441.5,459.7,459.2,463.3,468.3,472.6,469.4,482.0,495.8,494.6,500.1,506.7
"    53","    Data processing, internet publishing, and other information services",144.7,146.5,153.8,161.8,171.5,186.5,199.5,214.6,225.2,241.0,248.8,253.8,258.4,273.7,281.7,293.3,299.3,319.7
"    54","  Finance, insurance, real estate, rental, and leasing",3281.9,3323.5,3344.1,3365.4,3395.3,3433.6,3397.0,3400.5,3399.2,3447.7,3462.4,3467.8,3457.6,3439.7,3452.3,3437.3,3434.4,3456.8
"    55","    Finance and insurance",1127.4,1154.3,1152.3,1166.2,1185.3,1214.8,1165.8,1162.6,1153.6,1178.7,1196.0,1204.2,1185.4,1158.4,1168.6,1145.5,1129.3,1123.7
"    56","      Federal Reserve banks, credit intermediation, and related activities",467.5,487.2,483.6,482.6,493.2,501.9,470.6,458.4,442.6,444.7,451.6,458.8,451.3,433.8,433.7,416.4,419.0,417.2
"    57","      Securities, commodity contracts, and investments",207.0,182.6,169.8,175.6,171.1,171.5,177.5,194.5,209.3,213.7,210.8,208.2,212.9,212.0,220.3,221.7,203.7,195.6
"    58","      Insurance carriers and related activities",432.3,465.6,482.4,494.8,511.2,533.6,513.0,508.8,505.9,524.9,536.6,539.5,520.1,513.2,514.4,510.7,511.4,516.2
"    59","      Funds, trusts, and other financial vehicles",29.1,33.1,33.2,28.1,24.7,24.2,17.8,12.1,8.1,9.1,11.3,11.8,12.8,12.3,12.6,11.0,10.7,11.7
"    60","    Real estate and rental and leasing",2154.5,2168.4,2191.8,2198.7,2208.8,2216.3,2231.5,2238.6,2247.0,2270.0,2266.1,2262.6,2272.8,2284.1,2285.8,2296.0,2311.4,2341.3
"    61","      Real estate",1978.2,1985.8,1999.9,1999.1,2002.6,2007.2,2018.4,2023.4,2025.2,2044.6,2041.0,2038.5,2048.3,2055.6,2057.0,2066.3,2080.6,2108.5
"    62","        Housing",1552.2,1560.4,1571.1,1579.7,1591.6,1603.5,1613.8,1621.1,1624.1,1629.8,1628.6,1628.7,1636.9,1639.1,1641.3,1643.5,1658.0,1668.9
"    63","        Other real estate",426.0,425.5,428.9,419.3,410.6,403.2,404.1,401.7,400.5,414.4,411.9,409.2,410.8,416.1,415.3,422.6,422.3,440.1
"    64","      Rental and leasing services and lessors of intangible assets",176.1,182.5,192.0,200.1,207.1,210.3,214.6,216.9,224.3,227.9,227.8,226.7,226.9,231.4,231.8,232.7,233.6,235.5
"    65","  Professional and business services",2034.6,2055.9,2107.8,2114.1,2122.7,2134.3,2154.4,2156.5,2162.7,2173.7,2180.1,2206.9,2229.5,2261.3,2287.8,2312.4,2332.5,2376.8
"    66","    Professional, scientific, and technical services",1207.9,1226.5,1265.1,1266.9,1274.5,1284.5,1297.0,1298.6,1309.0,1316.6,1316.3,1332.1,1338.5,1359.0,1371.6,1383.5,1403.9,1435.6
"    67","      Legal services",202.4,205.6,212.7,208.2,205.6,205.7,207.5,203.6,209.7,211.3,209.6,212.7,210.5,211.1,209.9,211.3,208.8,213.5
"    68","      Computer systems design and related services",264.2,267.3,276.4,277.7,283.0,291.3,294.7,301.0,306.9,314.1,319.0,328.0,336.7,344.4,350.8,353.3,360.1,368.6
"    69","      Miscellaneous professional, scientific, and technical services",742.1,754.3,776.7,782.1,787.4,789.7,797.0,797.0,795.3,794.6,791.7,795.8,797.1,810.0,818.3,826.4,843.7,862.5
"    70","    Management of companies and enterprises",336.5,332.2,340.8,342.1,343.0,341.8,344.6,344.6,343.7,344.0,347.2,352.5,358.6,363.6,373.1,382.6,380.9,385.4
"    71","    Administrative and waste management services",490.5,497.3,502.1,505.3,505.4,508.1,512.9,513.5,510.3,513.2,516.7,522.5,532.4,538.7,543.6,547.3,548.6,556.6
"    72","      Administrative and support services",448.3,454.0,458.1,460.9,460.8,461.2,465.2,465.1,462.1,464.4,467.6,472.3,481.1,487.1,491.3,495.6,497.2,504.8
"    73","      Waste management and remediation services",42.2,43.3,44.0,44.4,44.6,46.9,47.6,48.3,48.1,48.6,49.0,50.1,51.2,51.5,52.1,51.6,51.3,51.8
"    74","  Educational services, health care, and social assistance",1431.8,1442.0,1461.0,1470.5,1484.5,1494.4,1502.9,1507.1,1525.8,1534.7,1529.9,1544.9,1548.2,1557.7,1562.6,1570.0,1586.8,1602.1
"    75","    Educational services",212.4,212.6,213.7,213.4,213.9,214.6,215.5,216.5,218.3,218.3,217.1,218.1,212.5,212.5,214.1,214.7,216.3,216.0
"    76","    Health care and social assistance",1219.4,1229.5,1247.3,1257.3,1270.8,1280.1,1287.7,1290.9,1307.9,1316.9,1313.3,1327.3,1336.6,1346.2,1349.5,1356.3,1371.6,1387.3
"    77","      Ambulatory health care services",594.2,600.5,611.9,615.8,628.5,636.3,642.8,644.6,660.4,669.7,667.5,679.2,685.1,691.3,695.1,699.5,712.4,724.6
"    78","      Hospitals",397.4,399.5,404.0,408.9,410.6,411.6,413.0,413.9,414.0,413.0,412.4,414.5,417.3,419.8,418.3,420.4,422.0,425.8
"    79","      Nursing and residential care facilities",129.5,130.3,130.7,131.2,130.8,131.0,131.1,130.3,130.6,131.6,130.3,130.4,130.3,130.4,130.1,130.4,131.3,129.9
"    80","      Social assistance",98.4,99.5,100.8,101.4,101.3,101.6,101.5,102.7,103.9,104.1,104.5,104.9,105.8,106.7,108.2,108.3,108.8,110.4
"    81","  Arts, entertainment, recreation, accommodation, and food services",644.6,652.0,661.1,662.5,664.5,669.4,672.8,671.3,669.5,669.8,673.3,680.2,678.6,685.4,689.9,688.3,682.5,693.7
"    82","    Arts, entertainment, and recreation",180.0,181.7,183.7,182.9,178.9,178.1,178.4,178.2,179.4,180.6,182.4,186.6,183.1,187.8,193.1,191.4,188.9,193.2
"    83","      Performing arts, spectator sports, museums, and related activities",107.1,108.5,108.8,107.9,104.9,104.3,103.5,103.3,103.2,104.2,106.2,108.9,105.5,108.2,112.3,111.4,108.5,114.1
"    84","      Amusements, gambling, and recreation industries",72.9,73.1,74.8,75.0,74.0,73.9,74.9,74.9,76.3,76.4,76.1,77.7,77.6,79.6,80.8,80.0,80.4,79.1
"    85","    Accommodation and food services",464.6,470.3,477.4,479.6,485.5,491.1,494.2,493.0,489.9,489.1,490.9,493.6,495.4,497.6,497.0,497.1,493.7,500.6
"    86","      Accommodation",132.7,132.9,135.4,135.7,139.9,142.0,142.7,142.0,139.3,138.6,138.5,139.8,141.3,140.1,139.5,138.8,135.1,140.8
"    87","      Food services and drinking places",331.9,337.4,342.1,343.9,345.6,349.1,351.6,351.0,350.6,350.4,352.4,353.8,354.1,357.4,357.4,358.1,358.4,359.7
"    88","  Other services, except government",347.7,353.5,359.2,359.1,358.2,359.8,356.9,355.7,355.1,355.0,355.5,355.3,353.7,355.9,358.8,359.7,359.7,363.4
"    89","Government",2133.8,2141.7,2141.1,2139.4,2132.2,2139.3,2141.8,2144.5,2150.5,2155.9,2167.0,2170.9,2176.7,2176.0,2177.4,2177.2,2172.3,2175.5
"    90","  Federal",695.2,693.8,692.1,690.6,693.1,693.7,693.8,694.9,696.6,699.1,701.2,701.6,702.6,701.3,701.4,700.4,697.8,697.5
"    91","    General government",650.5,648.4,645.8,643.1,643.4,642.4,641.9,642.4,644.4,645.1,646.0,645.6,646.1,645.2,646.1,646.9,647.0,648.3
"    92","      National defense",395.1,393.2,390.3,387.7,385.7,383.7,382.7,382.1,381.8,381.3,381.1,380.5,380.4,379.8,380.5,381.2,381.1,381.9
"    93","      Nondefense",255.4,255.1,255.4,255.3,257.6,258.4,258.9,260.0,262.3,263.4,264.5,264.7,265.3,265.0,265.2,265.3,265.5,266.0
"    94","    Government enterprises",44.7,45.3,46.3,47.4,49.4,51.1,51.6,52.1,51.9,53.6,54.7,55.5,56.0,55.6,54.9,53.1,50.3,48.6
"    95","  State and local",1438.4,1447.7,1448.6,1448.5,1439.0,1445.3,1447.7,1449.3,1453.6,1456.5,1465.5,1468.9,1473.6,1474.2,1475.5,1476.2,1473.9,1477.3
"    96","    General government",1322.3,1324.8,1324.6,1327.1,1328.6,1331.3,1334.8,1337.1,1341.4,1345.4,1351.6,1352.9,1355.0,1356.7,1358.6,1359.0,1357.5,1358.9
"    97","    Government enterprises",116.4,122.9,124.0,121.4,111.1,114.3,113.4,112.9,112.8,111.9,114.5,116.3,118.8,117.8,117.3,117.5,116.7,118.6
"    98","Not allocated by industry [1]",65.9,58.8,51.3,58.0,30.6,59.1,38.3,27.8,-46.4,7.7,45.7,71.2,66.6,55.1,66.5,76.6,86.9,91.7
"    99","Addenda:","","","","","","","","","","","","","","","","","",""
"    100","    Private goods-producing industries [2]",3132.1,3195.3,3228.7,3250.6,3297.5,3276.1,3285.8,3260.1,3301.1,3277.4,3269.3,3249.5,3291.6,3317.5,3328.4,3370.6,3402.1,3430.7
"    101","    Private services-producing industries [3]",11276.8,11414.1,11591.0,11638.8,11723.5,11874.9,11904.0,11934.8,11966.5,12084.5,12150.7,12227.9,12252.2,12343.9,12444.8,12494.7,12555.4,12700.8
"Legend / Footnotes:"
"1. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The value of the ""Not allocated by industry"" line reflects the difference between the first line and the sum of the most detailed lines, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"2. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"3. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
